Time(ms),Altitude(m),Temperature(C),Pressure(hPa),Acceleration(ms/2),Velocity(ms/-1),Accelerometer_Coordinates,Gyroscope_Coordinates
2340,0.36,13.27,974.78,-0.02,0.00,0.12/-0.99/-0.02,-7.29/-3.20/0.24
5961,0.12,13.30,974.81,0.01,-0.01,0.05/-1.00/0.11,-2.93/-49.59/1.06
9581,-0.16,13.37,974.84,0.01,0.02,-0.04/-0.94/0.13,9.78/-64.00/18.98
13201,-2.36,13.48,975.09,0.01,0.07,0.00/-0.91/0.43,0.31/25.28/-2.28
16821,-1.84,13.60,975.03,0.03,0.22,0.07/-0.90/0.26,7.22/-64.00/15.38
20441,-1.45,13.74,974.99,-0.01,0.15,-0.16/-0.92/0.26,1.49/19.33/-3.82
24062,-1.14,13.90,974.95,-0.02,0.06,-0.12/-0.94/0.14,2.55/-3.38/0.69
27682,-0.88,14.04,974.92,-0.02,-0.02,-0.11/-0.94/0.19,1.08/-1.35/-0.25
31302,-0.73,14.18,974.90,-0.02,-0.07,-0.11/-0.94/0.19,1.01/-1.15/0.10
34922,-0.60,14.31,974.89,-0.01,-0.09,-0.08/-0.93/0.20,2.14/-0.94/0.11
38542,-0.56,14.46,974.88,-0.00,-0.08,-0.11/-0.94/0.20,0.79/-1.07/-0.26
42162,-0.42,14.59,974.87,-0.03,-0.15,-0.14/-0.95/0.11,6.01/4.12/-1.09
45782,-0.26,14.71,974.85,-0.02,-0.09,-0.07/-0.90/0.29,2.13/10.80/-2.46
49403,-0.21,14.83,974.84,0.02,-0.00,-0.15/-0.94/0.15,0.13/-1.08/-0.67
53023,-0.17,14.96,974.84,0.07,0.24,-0.11/-0.94/0.15,1.87/-20.96/-2.71
56643,-0.18,15.07,974.84,0.04,0.36,-0.07/-0.94/0.20,1.25/-1.22/0.28
60262,-0.22,15.18,974.84,0.02,0.44,-0.08/-0.94/0.23,0.34/-0.93/0.37
63881,-0.20,15.29,974.84,0.02,3.88,0.11/-2.37/0.58,-8.78/-64.00/21.17
67500,26.56,15.40,971.75,1.00,7.37,-0.02/0.03/0.01,-2.64/-38.55/24.48
71119,64.39,15.50,967.40,0.67,10.43,-0.33/0.92/0.76,64.00/64.00/-64.00
74740,84.37,15.58,965.11,-0.03,12.78,-1.29/1.39/-0.73,-64.00/-64.00/64.00
78359,88.79,15.67,964.60,1.05,17.74,0.12/0.89/0.66,64.00/-64.00/25.22
81978,80.75,15.78,965.52,0.70,21.17,-0.24/0.75/0.37,64.00/64.00/-7.36
85597,66.19,15.86,967.19,0.70,21.61,1.01/0.24/-0.85,-17.01/-15.77/-64.00
